feature,feature,type,p_value,relevant
"T_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","T_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",real,4.697007837699998e-08,True
"T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",real,4.7976862911812746e-08,True
"F_x__linear_trend__attr_""pvalue""","F_x__linear_trend__attr_""pvalue""",real,4.963819621985887e-08,True
"F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",real,4.963819621985887e-08,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",real,5.0762524199096646e-08,True
T_z__percentage_of_reoccurring_datapoints_to_all_datapoints,T_z__percentage_of_reoccurring_datapoints_to_all_datapoints,real,5.138932080878616e-08,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",real,5.165359818849389e-08,True
"T_y__fft_coefficient__attr_""abs""__coeff_0","T_y__fft_coefficient__attr_""abs""__coeff_0",real,5.238944594671196e-08,True
F_z__cid_ce__normalize_True,F_z__cid_ce__normalize_True,real,5.5407221800712675e-08,True
"F_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","F_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",real,5.5407221800712675e-08,True
"F_z__fft_aggregated__aggtype_""kurtosis""","F_z__fft_aggregated__aggtype_""kurtosis""",real,5.6940405761912905e-08,True
T_y__lempel_ziv_complexity__bins_100,T_y__lempel_ziv_complexity__bins_100,real,5.6971301752487256e-08,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",real,5.935732954492356e-08,True
F_y__percentage_of_reoccurring_values_to_all_values,F_y__percentage_of_reoccurring_values_to_all_values,real,5.976949036199216e-08,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",real,5.990685362329736e-08,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",real,6.179900921237806e-08,True
"T_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","T_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",real,6.180723986421447e-08,True
T_x__lempel_ziv_complexity__bins_100,T_x__lempel_ziv_complexity__bins_100,real,6.212540785326923e-08,True
F_z__quantile__q_0.3,F_z__quantile__q_0.3,real,6.456339654996613e-08,True
F_x__autocorrelation__lag_9,F_x__autocorrelation__lag_9,real,6.895757187466294e-08,True
"T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",real,7.048869979321022e-08,True
"T_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","T_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",real,7.057254404831875e-08,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",real,7.25139943653005e-08,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",real,7.281733819264911e-08,True
"F_y__linear_trend__attr_""stderr""","F_y__linear_trend__attr_""stderr""",real,7.281733819264911e-08,True
"T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",real,7.48150439891327e-08,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",real,7.893992538492977e-08,True
"F_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","F_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",real,8.333927631215836e-08,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",real,8.559357895487832e-08,True
"F_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","F_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",real,8.795271900078534e-08,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",real,9.803441964218569e-08,True
T_z__value_count__value_0,T_z__value_count__value_0,real,9.916687310189473e-08,True
"T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",real,1.0006370968019809e-07,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",real,1.0042347251434309e-07,True
"T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",real,1.06006673749642e-07,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",real,1.060475749391702e-07,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",real,1.0612941827631478e-07,True
"F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",real,1.0633426571835347e-07,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",real,1.1115775034377028e-07,True
"T_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","T_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",real,1.1178650015696658e-07,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",real,1.233300242560805e-07,True
"F_z__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",real,1.24893815672157e-07,True
"T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",real,1.28212302536817e-07,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",real,1.29990325709226e-07,True
"F_z__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)",real,1.3174963038546088e-07,True
T_z__has_duplicate_min,T_z__has_duplicate_min,binary,1.3678445229202023e-07,True
"F_x__fft_coefficient__attr_""abs""__coeff_6","F_x__fft_coefficient__attr_""abs""__coeff_6",real,1.389513183549071e-07,True
"F_z__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",real,1.38968862530052e-07,True
F_x__number_crossing_m__m_-1,F_x__number_crossing_m__m_-1,real,1.464452276434574e-07,True
"T_x__fft_coefficient__attr_""abs""__coeff_0","T_x__fft_coefficient__attr_""abs""__coeff_0",real,1.464594547729085e-07,True
F_x__value_count__value_0,F_x__value_count__value_0,real,1.580573921646336e-07,True
"F_y__fft_aggregated__aggtype_""variance""","F_y__fft_aggregated__aggtype_""variance""",real,1.6299699165138235e-07,True
F_z__fourier_entropy__bins_10,F_z__fourier_entropy__bins_10,real,1.664522714422453e-07,True
"F_z__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",real,1.7186451974543562e-07,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",real,1.7614999902513575e-07,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",real,1.8056756193125894e-07,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",real,1.8097308612608105e-07,True
"T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",real,1.8097308612608105e-07,True
F_y__partial_autocorrelation__lag_1,F_y__partial_autocorrelation__lag_1,real,1.811976305151506e-07,True
"F_z__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",real,1.811976305151506e-07,True
"F_z__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",real,1.811976305151506e-07,True
F_y__autocorrelation__lag_1,F_y__autocorrelation__lag_1,real,1.811976305151506e-07,True
F_x__percentage_of_reoccurring_values_to_all_values,F_x__percentage_of_reoccurring_values_to_all_values,real,1.843684439976198e-07,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",real,1.9104919610394053e-07,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",real,1.9566294512346038e-07,True
"F_z__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",real,2.0135575063995913e-07,True
"F_z__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",real,2.0135575063995913e-07,True
"F_z__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",real,2.0135575063995913e-07,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",real,2.0571056104267397e-07,True
"F_z__agg_autocorrelation__f_agg_""median""__maxlag_40","F_z__agg_autocorrelation__f_agg_""median""__maxlag_40",real,2.122312261734118e-07,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",real,2.2347009226417602e-07,True
"F_z__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",real,2.2367332335689408e-07,True
"T_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","T_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",real,2.2367332335689408e-07,True
"F_y__fft_coefficient__attr_""abs""__coeff_6","F_y__fft_coefficient__attr_""abs""__coeff_6",real,2.4834208663219575e-07,True
"F_z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""","F_z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",real,2.6156339723226237e-07,True
"F_z__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",real,2.616898765770214e-07,True
F_z__quantile__q_0.4,F_z__quantile__q_0.4,real,2.737433803956457e-07,True
"F_z__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",real,2.756960326327812e-07,True
"T_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","T_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",real,2.8191530227274766e-07,True
"T_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","T_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",real,2.886542309711543e-07,True
"T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",real,2.9154718837426606e-07,True
"F_z__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",real,3.059121700322582e-07,True
"F_z__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",real,3.059121700322582e-07,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",real,3.0998433889620854e-07,True
T_z__binned_entropy__max_bins_10,T_z__binned_entropy__max_bins_10,real,3.1967167320796245e-07,True
"F_z__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",real,3.2219545306494856e-07,True
"F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",real,3.392737261127553e-07,True
"F_z__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",real,3.3931398063639584e-07,True
"F_z__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",real,3.5730887178160436e-07,True
"F_z__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",real,3.7622317832602584e-07,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",real,4.000827026827729e-07,True
"F_z__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",real,4.1699242941902265e-07,True
"F_z__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",real,4.1699242941902265e-07,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",real,4.2531134292059425e-07,True
"F_z__fft_coefficient__attr_""angle""__coeff_0","F_z__fft_coefficient__attr_""angle""__coeff_0",binary,4.2684621283329027e-07,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",real,4.356246899145575e-07,True
"T_z__fft_coefficient__attr_""abs""__coeff_3","T_z__fft_coefficient__attr_""abs""__coeff_3",real,4.501243099973443e-07,True
T_y__approximate_entropy__m_2__r_0.7,T_y__approximate_entropy__m_2__r_0.7,real,4.5981506040943256e-07,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",real,4.784807978210543e-07,True
"F_z__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",real,4.862392152818548e-07,True
"F_z__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",real,4.862392152818548e-07,True
"F_z__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",real,4.862392152818548e-07,True
T_x__fourier_entropy__bins_10,T_x__fourier_entropy__bins_10,real,4.926677991709223e-07,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",real,5.019754803359926e-07,True
F_z__fourier_entropy__bins_5,F_z__fourier_entropy__bins_5,real,5.36477224041105e-07,True
T_x__approximate_entropy__m_2__r_0.7,T_x__approximate_entropy__m_2__r_0.7,real,5.379367997553984e-07,True
"F_z__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",real,5.384307134993008e-07,True
"F_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","F_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",real,5.522362308677271e-07,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",real,5.582129779685684e-07,True
"F_z__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",real,5.665123092132112e-07,True
F_z__c3__lag_3,F_z__c3__lag_3,real,5.665123092132112e-07,True
"F_x__fft_coefficient__attr_""abs""__coeff_5","F_x__fft_coefficient__attr_""abs""__coeff_5",real,5.756641268610801e-07,True
F_z__benford_correlation,F_z__benford_correlation,real,5.949184384335292e-07,True
F_z__mean,F_z__mean,real,5.957997089008541e-07,True
F_z__sum_values,F_z__sum_values,real,5.957997089008541e-07,True
"F_z__fft_coefficient__attr_""real""__coeff_0","F_z__fft_coefficient__attr_""real""__coeff_0",real,5.957997089008541e-07,True
"F_z__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",real,5.960032361293228e-07,True
"F_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","F_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",real,6.59487236803687e-07,True
F_x__benford_correlation,F_x__benford_correlation,real,6.919095156554943e-07,True
"F_z__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",real,6.936252811015698e-07,True
"F_z__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",real,6.936252811015698e-07,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",real,6.986377005168346e-07,True
T_x__fourier_entropy__bins_5,T_x__fourier_entropy__bins_5,real,7.21773678275213e-07,True
"F_z__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",real,7.294628719695454e-07,True
T_z__percentage_of_reoccurring_values_to_all_values,T_z__percentage_of_reoccurring_values_to_all_values,real,7.328313143495209e-07,True
F_z__longest_strike_above_mean,F_z__longest_strike_above_mean,real,7.456702349210554e-07,True
F_y__cid_ce__normalize_False,F_y__cid_ce__normalize_False,real,7.477093704242123e-07,True
F_z__median,F_z__median,real,7.812388020557326e-07,True
"F_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","F_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",real,8.063849128469083e-07,True
"F_z__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",real,8.065643927078281e-07,True
"F_z__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",real,8.065643927078281e-07,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",real,8.23182947542394e-07,True
F_z__fourier_entropy__bins_100,F_z__fourier_entropy__bins_100,real,8.459269791270182e-07,True
"T_z__fft_coefficient__attr_""abs""__coeff_7","T_z__fft_coefficient__attr_""abs""__coeff_7",real,8.479075235302521e-07,True
F_z__approximate_entropy__m_2__r_0.7,F_z__approximate_entropy__m_2__r_0.7,real,8.873585343097712e-07,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",real,8.908944291170868e-07,True
F_z__autocorrelation__lag_1,F_z__autocorrelation__lag_1,real,8.914848984973309e-07,True
F_z__partial_autocorrelation__lag_1,F_z__partial_autocorrelation__lag_1,real,8.914848984973309e-07,True
"F_x__fft_coefficient__attr_""abs""__coeff_7","F_x__fft_coefficient__attr_""abs""__coeff_7",real,8.914848984973309e-07,True
F_y__absolute_sum_of_changes,F_y__absolute_sum_of_changes,real,9.074960150633798e-07,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",real,9.074960150633798e-07,True
F_y__mean_abs_change,F_y__mean_abs_change,real,9.074960150633798e-07,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",real,1.0015369462057145e-06,True
T_x__spkt_welch_density__coeff_2,T_x__spkt_welch_density__coeff_2,real,1.0352012478693229e-06,True
"F_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","F_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",real,1.0603019186452778e-06,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",real,1.1279756621420833e-06,True
"F_z__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",real,1.1431352672658858e-06,True
"T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",real,1.1614174664530197e-06,True
"T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",real,1.1716388465000019e-06,True
"F_z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","F_z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",real,1.23097709902613e-06,True
"F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",real,1.3255784377148247e-06,True
"F_z__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",real,1.3255784377148247e-06,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",real,1.4327107664145648e-06,True
F_z__count_below__t_0,F_z__count_below__t_0,real,1.526370384332033e-06,True
"F_z__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",real,1.535859949447635e-06,True
F_z__range_count__max_1000000000000.0__min_0,F_z__range_count__max_1000000000000.0__min_0,real,1.584763998178375e-06,True
F_z__range_count__max_0__min_-1000000000000.0,F_z__range_count__max_0__min_-1000000000000.0,real,1.584763998178375e-06,True
F_z__count_above__t_0,F_z__count_above__t_0,real,1.584763998178375e-06,True
F_y__number_crossing_m__m_-1,F_y__number_crossing_m__m_-1,real,1.653914974063656e-06,True
"F_z__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",real,1.6934858304550702e-06,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",real,1.7137566020217073e-06,True
"F_z__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","F_z__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",real,1.7644905495963575e-06,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",real,1.7691137450837018e-06,True
T_x__autocorrelation__lag_1,T_x__autocorrelation__lag_1,real,1.7780186263487306e-06,True
T_x__partial_autocorrelation__lag_1,T_x__partial_autocorrelation__lag_1,real,1.7780186263487306e-06,True
F_y__value_count__value_0,F_y__value_count__value_0,real,1.8446306657200081e-06,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",real,2.0028948420802687e-06,True
"F_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","F_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",real,2.1063346800444862e-06,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",real,2.1375565317584948e-06,True
"F_z__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",real,2.158508674369716e-06,True
"F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",real,2.2107294404438045e-06,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",real,2.2594079839111904e-06,True
F_z__spkt_welch_density__coeff_2,F_z__spkt_welch_density__coeff_2,real,2.2652066607382235e-06,True
